year,quarter,region_ar,city_ar,Category,total_deals,average
2019,4,المنطقة الشرقية,بقيق,دور - سكني,7,25571.42857
2019,4,المنطقة الشرقية,حفر الباطن,دور - سكني,39,17831.89189
2019,4,المنطقة الشرقية,رأس تنورة,دور - سكني,13,35910.58333
2019,4,المنطقة الشرقية,قرية العليا - الرفيعه,دور - سكني,1,9600
2019,4,المنطقة الشرقية,الاحساء,شقة - سكني,2988,12908.31994
2019,4,المنطقة الشرقية,الجبيل,شقة - سكني,1378,19750.22628
2019,4,المنطقة الشرقية,الخبر,شقة - سكني,5892,20668.05094
2019,4,المنطقة الشرقية,الخفجي,شقة - سكني,155,14824.37607
2019,4,المنطقة الشرقية,الدمام,شقة - سكني,9998,17471.44717
2019,4,المنطقة الشرقية,الذيبية,شقة - سكني,19,20306.05556
2019,4,المنطقة الشرقية,العيون,شقة - سكني,56,14659.07692
2019,4,المنطقة الشرقية,القطيف,شقة - سكني,738,17669.52174
2019,4,المنطقة الشرقية,القيصومة,شقة - سكني,12,10628.25
2019,4,المنطقة الشرقية,النعيرية,شقة - سكني,97,13510.64286
2019,4,المنطقة الشرقية,بقيق,شقة - سكني,19,22424.22222
2019,4,المنطقة الشرقية,حفر الباطن,شقة - سكني,383,12415.15309
2019,4,المنطقة الشرقية,رأس تنورة,شقة - سكني,391,16142.90402
2019,4,المنطقة الشرقية,الاحساء,فيلا - سكني,29,20465.85714
2019,4,المنطقة الشرقية,الجبيل,فيلا - سكني,15,69991.28571
2019,4,المنطقة الشرقية,الخبر,فيلا - سكني,89,69759
2019,4,المنطقة الشرقية,الخفجي,فيلا - سكني,1,36000
2019,4,المنطقة الشرقية,الدمام,فيلا - سكني,135,45730.13793
2019,4,المنطقة الشرقية,القطيف,فيلا - سكني,6,22356.66667
2019,4,المنطقة الشرقية,حفر الباطن,فيلا - سكني,4,21828.25
2019,4,المنطقة الشرقية,الاحساء,محل - تجاري,144,355.289099
2019,4,المنطقة الشرقية,الجبيل,محل - تجاري,68,468.267645
2019,4,المنطقة الشرقية,الخبر,محل - تجاري,220,488.409939
2019,4,المنطقة الشرقية,الخفجي,محل - تجاري,46,399.059347
