القائمة الرئيسية   Main List,,,,,,,,,,,,,,, الأرقام القياسية للأسعار       Price Indices
Table 1: Consumer Price Indices By Expenditure Divisions,,,,,,,,,,,,,,,جدول 1: الأرقام القياسية لأسعار المستهلك حسب أقسام الإنفاق
 ( 2023=100 ),,,,,,,,,,,,,,, ( 2023=100 )
متوسط,,الرقم,الاغذية,,الملابس,السكن والمياه والكهرباء,الأثاث والأجهزة المنزلية,الصحة,النقل ,المعلومات,الترفيه والرياضة,خدمات ,المطاعم,التأمين,العناية الشخصية والحماية الاجتماعية
الفترة,,القياسي,والمشروبات,التبغ,والاحذية, والغاز و أنواع وقود أخرى,والصيانة الدورية للمنزل,,,والاتصالات, والثقافة,التعليم,وخدمات الإقامة,والخدمات المالية, والسلع والخدمات الأخرى
,,العام,Food ,Tobacco,Clothing  ,"Housing , Water, Electricity, Gas, and other fuels","Furnishings, Household Equipment and Routine Household Maintenance",Health,Transport,Information,"Recreation, Sport and Culture",Education Services,Restaurants and Accommodation Services,Insurance and Financial Services,"Personal Care, Social Protection and Miscellaneous Goods and Services"
Period,,General,and,Toobcco,and,,,,, and ,,Education,Restaurants and Hotels,,
Average,,Index, beverages,,Footwear,,,,,Communication,,,,,
,,,,Toobcco,,,,,,,,Education,Restaurants and Hotels,,
41729,,85.740227494861003,77.097207723514998,48.930778402273802,112.314129243037,97.785308802384606,88.124073218995207,86.669615034516298,73.234513063371907,89.725048539851599,71.262194700405701,92.043612562902496,73.202745461809201,64.281652801272699,87.185520671747298
41759,,86.122053764656798,77.636161227330902,48.929042450205202,112.39809013713101,98.211305883351301,87.381346350772006,87.237453220364003,73.203437441196201,92.332081237785005,70.179775560422598,92.043612562902496,73.443099835264206,64.281652801272699,87.9210069457598
41790,,86.136204011462297,77.469335454797601,49.271831277182699,111.959674994178,98.8233680991477,87.398645630367795,87.212185148408594,73.090531139546599,92.274157720958598,70.106592872188102,92.043612562902496,73.662002142126099,64.281652801272699,87.240380984551507
41820,,86.199525212496795,77.388379346563099,49.331454440920901,112.26107809798501,98.461046099008399,87.207197549026304,87.183848450542797,73.424608739552795,91.989857009114502,70.574852866363699,92.043612562902496,73.771456291606,64.281652801272699,88.262442616847395
41851,,86.457724837102901,77.850821731316202,49.298450681417002,112.824651327336,98.548193794916898,87.257456296021104,87.856639718138595,73.740770846728594,92.059405689945194,73.0340043167527,92.043612562902496,73.555071230243996,64.552522313472096,88.119808410241504
41882,,86.553065740393293,77.920164168610199,49.006644884997101,112.802218706247,98.082461397234496,88.143840772430494,87.897197340637604,73.885299087824706,91.874594227680703,74.012685556910597,92.043612562902496,74.2485055204546,64.260511794052206,88.501176430733096
41912,,86.601983695189901,78.417663684942397,49.443302326953102,113.116046187927,98.090402270199803,88.257598545878395,87.923697732178297,73.833658497353994,91.598811815529999,73.710030329394002,92.043612562902496,73.5519627678663,64.260511794052206,88.565698142978704
41943,,86.668478611670594,78.465106682048599,49.316104222218598,113.37551754055301,98.355483781499402,88.980375125565601,88.131092268655905,73.6397327266031,91.494490185381096,73.277552944563098,91.783652114486003,74.347427076190897,64.260511794052206,88.000810857464501
41973,,86.822990296600693,78.409269204002101,49.375608160964497,113.47926985498501,98.816891476453804,89.289678923468799,88.142133293317599,73.598095377008093,91.674104222945303,72.458139169205396,91.783652114486003,74.290039352548504,64.260511794052206,88.6398337094776
42004,,86.850328450048394,78.308690028935601,49.603432969740403,113.35464999320401,98.799407493451199,89.5783766414783,88.174838562476396,73.814994926032497,91.512084489422307,72.451231045655305,91.783652114486003,74.224090360554399,64.260511794052206,88.790162665967699
42035,,87.024500538181698,78.155592308896203,49.349736437541303,113.298910714199,99.5889425841697,89.495486242469795,88.581959669644405,73.812297177821605,91.334538990886799,72.703132906284196,91.783652114486003,74.675074107636206,64.486440475177105,88.815430141709797
42063,,86.915167582210699,77.820117691456304,49.764760044039797,113.58333046114601,99.798141338261402,89.365964688420604,88.598347865710707,73.837068362553893,91.119410525563595,72.375454870392701,91.783652114486003,74.453595371974998,64.239389491875102,88.300372888061801
42094,,87.048015920943797,77.936388283367606,49.685690131665297,113.613288877993,100.01195812132499,89.041981919913894,88.629298911578701,73.888638102440297,91.117341308021594,72.273109215381197,91.783652114486003,74.525278774837005,64.239389491875102,89.006753764827494
42124,,87.074091643470695,78.170821201154794,49.982652418693299,113.649766505901,99.825519006069399,89.4139450108689,88.924339332609904,73.887831379444506,90.977411288482102,71.600453246508906,91.783652114486003,74.429248026794497,64.239389491875102,89.256481804550006
42155,,87.244082520137795,78.261172759378894,50.0302995583884,113.829566667788,100.350788829238,89.498888259819097,88.900287963588397,74.0754487317909,90.754231752389501,71.884558812823798,91.783652114486003,74.379869504054795,64.239389491875102,89.265669121312996
42185,,87.313401923642701,78.304385962704501,50.027931808118304,114.287907182152,100.100137551187,89.448350012417805,88.9308610929167,74.134678546132804,90.868579092277102,73.183346589162099,91.783652114486003,75.246721158433999,64.239389491875102,89.083051613278698
42216,,87.398758713984904,78.260120477292105,49.947894277368597,114.63583462381099,100.436222147061,89.912966789757903,88.834936218857194,74.204565588047501,90.6696080824305,72.222487437246301,91.783652114486003,75.044541282800907,64.856702795347204,89.326533548275904
42247,,87.353128640398793,78.119346593392507,50.014008003195698,114.281598937293,100.499106308994,89.977657398433095,88.819787287680896,73.956277643814005,90.527604747637,73.025585555202795,91.783652114486003,74.933653086090999,64.218261785622701,89.417722041643898
42277,,87.394790859141096,78.614470428753194,50.010911721739902,114.33391841215899,100.181643545459,90.536578980620902,88.825257790710594,73.913416649739304,90.669394385292904,72.631261265132494,91.783652114486003,74.739515135060401,64.218261785622701,89.3808142971736
42308,,87.560938491583997,78.767885814461295,50.021248659125,114.869388067811,100.61753537647201,89.972655813769705,89.131809615769797,73.731956194644894,90.671256779325304,72.653149581750796,93.749583625200003,74.997949509113198,64.218261785622701,89.467062710596196
42338,,87.679641543943703,78.023097263933295,50.013371444457903,114.96019750546,101.52753644443,90.366867320884097,89.086802602674794,73.711335188004,90.350265735115798,73.347087130417606,93.749583625200003,75.556423677052095,64.218261785622701,89.515230000121505
