القائمة الرئيسية   Main List,,,,,,قائمة شركات التمويل       Finance Companies 
Table 7: Residential New Mortgages Finance For Individuals Provided by Finance Companies,,,,,,جدول 7:التمويل العقاري السكني الجديد للأفراد المقدم من شركات التمويل
الفترة,,إجمالي عدد العقود ,الفلل,الشقق ,الأراضي ,حجم التمويل
Period,,Total Number of Contracts ,Houses ,Apartments,Land,Total
,,, (Million SAR مليون ريال ),,,
43769,,879,425.66065678000001,119.33191445999999,13.64516699,558.63773822999997
43799,,881,442.47039409000001,97.602416820000002,5.8691888299999997,545.94199974000003
43830,,932,453.84141726000001,113.03022467,12.2705,579.14214192999998
43861,,911,460.88533457,114.98509623,17.823599000000002,593.69402979999995
43890,,669,361.15793881000002,88.550416909999996,5.1937990000000003,454.90215472
43921,,507,246.93305839000001,76.603849280000006,4.6479999999999997,328.18490767000003
43951,,134,65.674304570000004,22.174675520000001,1.204375,89.053355089999997
43982,,291,176.87794215,38.974179939999999,2.8514919999999999,218.70361409
44012,,690,467.50111928000001,92.876806810000005,16.548451,576.92637708999996
44043,,714,407.77715712000003,95.99859755,5.8958839999999997,509.67163867000005
44074,,365,189.14127589,70.909152419999998,1.43,261.48042830999998
44104,,505,250.47526894000001,81.141989100000004,9.2524999999999995,340.86975804000002
44135,,474,241.39398836000001,93.606352639999997,5.1397500000000003,340.14009099999998
44165,,591,309.53515855000001,122.75134545,6.7456547200000001,439.03215871999998
44196,,560,334.62774730000001,99.639665460000003,5.2850200000000003,439.55243275999999
44227,,483,278.80834028999999,103.79506653,8.8316751999999994,391.43508201999998
44255,,488,265.21963297000002,112.51960264,4.6191250000000004,382.35836061000003
44286,,617,372.597307,130.29583926999999,12.50822,515.40136626999993
44316,,422,247.37270952,90.957808749999998,4.4164000000000003,342.74691827000004
44347,,294,189.82761837000001,59.161080650000002,4.5385,253.52719902000001
44377,,207,147.6129833,41.873279449999998,3.1691790000000002,192.65544175000002
44408,,220,136.39650709,51.994124290000002,3.0550000000000002,191.44563138000001
44439,,426,220.67861056999999,99.087775809999997,17.000073,336.76645937999996
44469,,406,226.13408754,92.262212250000005,31.403549999999999,349.79984979
44500,,359,178.56352637000001,102.41893089,6.1364200000000002,287.11887725999998
44530,,330,156.07043099000001,105.88598003,1.7741,263.73051101999999
44561,,338,144.66371139,104.33992376,11.474655,260.47829015000002
44592,,300,180,80,4,264
44620,,214,124,83,14,221
44651,,347,154.61237399000001,117.56187215,32.187480999999998,304.36172713999997
44681,,241,112.18540983,92.163933060000005,6.2157249999999999,210.56506789000002
44712,,142,63.08553096,61.810589999999998,23.545842,148.44196295999998
44742,,376,170.98916517999999,137.97484458,42.488372750000003,351.45238251000001
44773,,192,93.618966,66.838536300000001,6.7916867300000003,167.24918903
44804,,318,130.32478017,135.78564649,17.461745390000001,283.57217205000001
44834,,281,125.16675212,159.93427957,20.071197000000002,305.17222869
44865,,319,151.61716299,109.42239944000001,18.589914,279.62947643000001
