القائمة الرئيسية   Main List,,,,,,قائمة الإحصاءات النقدية والمالية       Money & Banking Stat. List,
Table 12f: Residential New Mortgages Finance for Individuals Provided by Banks,,,,,,جدول 12f: التمويل العقاري السكني الجديد للأفراد المقدم من المصارف
الفترة,,إجمالي عدد العقود ,الفلل,الشقق ,الأراضي ,حجم التمويل
Period,,Total Number of Contracts ,Houses ,Apartments,Land,Total
,,, (Million SAR مليون ريال ),,,
45777,,8204,3929.8661614900002,2063.8888158989998,303.50808763999999,6297.2630650290002
45808,,9961,4992.2529908799997,1850.3358495,533.82660405000001,7376.4154444300002
45838,,7404,3258.6926986990002,1576.8405821399999,482.41779649,5317.9510773290003
45869,,8575,4113.9965127089999,1931.4809538300001,370.98760953999999,6416.4650760789991
45900,,7962,3741.2071989999999,1762.4640568,356.8006977,5860.4719535000004
45930,,7998,3691.8020659500098,1825.53133987,303.08282793000001,5820.4162337500102
45961,,8025,3668.25,1522.43,356.91,5547.59
45991,,6773,2872.3044845999998,1295.21518302,297.14521917000002,4464.6648867899994
46022,,7613,3773.8465001200002,1428.0128914899999,345.65214956,5547.5115411699999
46053,,9005,4079,1699,411,6189
46081,,8353,3425,1616,330,5371
Note:  - The data do not include the amount of interest on financing.,,,,,,ملاحظة: - البيانات لا تشمل مبلغ الفائدة على التمويل.
