المؤشر العقاري لمدينة المدينة المنورة  في عام 2018 و2019 و2020 و 2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
المدينة,المدينة المنورة,,,,,,,,,,,,,
حالة العملية(معتمدة/ملغية/..),معتمدة,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021
سبتمبر,,,560260373,736251.1148,504,1812653030,1449360.0627,1216,423059254,791818.5474,815,,,
سبتمبر,سكني,,350959544,289867.1217,434,1006554272,693173.0398,1131,361767919,457950.0734,714,,,
سبتمبر,سكني,قطعة أرض,291485338,269503.1467,360,954926416,668908.3988,1043,312872736,441022.0684,642,,,
سبتمبر,سكني,فيلا,2332238,625.84,3,10607250,5291.58,13,3721175,1265.59,4,,,
سبتمبر,سكني,شقة,20488167,7603.085,50,27267555,9762.041,51,38843602,10387.935,51,,,
سبتمبر,سكني,بيت,24800085,7896.03,20,13753051,9211.02,24,6330406,5274.48,17,,,
سبتمبر,سكني,مرفق,11853716,4239.02,1,,,,,,,,,
سبتمبر,تجاري,,177194029,34366.169,49,751606675,324574.8129,77,59612835,60599.724,90,,,
سبتمبر,تجاري,قطعة أرض,177014029,34188.339,48,706495114,231197.3429,72,50357644,56744.414,86,,,
سبتمبر,تجاري,فيلا,,,,,,,1842836,762.31,2,,,
سبتمبر,تجاري,شقة,,,,3030000,655.92,3,,,,,,
سبتمبر,تجاري,مركز تجاري,,,,,,,1350000,2737.46,1,,,
سبتمبر,تجاري,بيت,180000,177.83,1,509361,336.2,1,6062355,355.54,1,,,
سبتمبر,تجاري,أرض زراعية,,,,41572200,92385.35,1,,,,,,
سبتمبر,زراعي,,32106800,412017.8241,21,54492083,431612.21,8,1678500,273268.75,11,,,
سبتمبر,زراعي,قطعة أرض,448000,30570,2,27000000,28251.84,1,563000,190.35,1,,,
سبتمبر,زراعي,أرض زراعية,31658800,381447.8241,19,27492083,403360.37,7,1115500,273078.4,10,,,
اكتوبر,,,520597835,891620.8841,737,606211724,1208146.2637,927,432747296,1347761.579,821,,,
اكتوبر,سكني,,437128644,335376.6541,614,495062438,436651.4921,826,324578870,397185.249,679,,,
اكتوبر,سكني,قطعة أرض,376710570,312738.0441,503,419774400,403839.5431,694,306911087,387926.379,646,,,
اكتوبر,سكني,عمارة,,,,800000,313.26,1,,,,,,
اكتوبر,سكني,فيلا,2317620,963.36,3,11356208,3974.32,12,1522951,1027.73,2,,,
اكتوبر,سكني,شقة,40263040,15198.4,88,55275830,19868.909,94,3780232,1614.96,11,,,
اكتوبر,سكني,بيت,17837414,6476.85,20,7056000,6896.35,23,12364600,6616.18,20,,,
اكتوبر,سكني,مرفق,,,,100000,859.11,1,,,,,,
اكتوبر,سكني,إستراحة,,,,700000,900,1,,,,,,
اكتوبر,تجاري,,65849591,80031.04,100,80533012,198751.8916,93,89998575,77518.41,110,,,
اكتوبر,تجاري,قطعة أرض,63246059,73365.62,96,73909344,68849.79,86,82498575,76775.09,109,,,
اكتوبر,تجاري,عمارة,,,,,,,7500000,743.32,1,,,
اكتوبر,تجاري,فيلا,,,,3866526,779.77,3,,,,,,
اكتوبر,تجاري,شقة,,,,2007142,700.2716,3,,,,,,
