شبكة الكهرباء,السنة,المنطقة الإدارية,نوع المسكن,المساكن المتصلة بالكهرباء
شبكة خاصة,2022,نجران,دور في منزل شعبي,0.00
شبكة عامة,2022,نجران,دور في فيلا,97.26
شبكة عامة,2017,الجوف,دور في فيلا,100.00
مولد خاص,2022,عسير,أخرى,0.00
شبكة خاصة,2017,المدينة المنورة,دور في فيلا,0.00
شبكة عامة,2017,القصيم,فيلا,100.00
مولد خاص,2022,المدينة المنورة,أخرى,0.00
مولد خاص,2019,حائل,دور في فيلا,0.00
مولد خاص,2022,الرياض,دور في منزل شعبي,0.00
مولد خاص,2022,تبوك,أخرى,12.50
مولد خاص,2022,المنطقة الشرقية,أخرى,0.00
شبكة عامة,2017,عسير,شقة,95.40
شبكة عامة,2022,نجران,شقة,99.64
شبكة خاصة,2018,نجران,منزل شعبي,0.00
طاقة شمسية,2018,تبوك,دور في منزل شعبي,0.00
شبكة عامة,2022,المدينة المنورة,فيلا,88.97
شبكة عامة,2022,الباحة,منزل شعبي,87.50
شبكة خاصة,2022,القصيم,دور في فيلا,0.00
