id,field_id,value,count,percentage
566,135,"المدينة المنورة",94,5.3
567,135,"حائل",76,4.28
568,135,"ابها",66,3.72
569,135,"تبوك",60,3.38
570,135,"الطائف",51,2.87
571,135,"سكاكا",43,2.42
572,135,"الاحساء",40,2.25
573,135,"حفر الباطن",39,2.2
574,135,"جيزان",31,1.75
575,135,"عرعر",24,1.35
576,135,"الباحه",23,1.3
577,135,"نجران",8,0.45
578,136,"قسمة تركة",1251,70.48
579,136,"مزاد",287,16.17
580,136,"أوراق تجارية",94,5.3
581,136,"احكام و قرارات",55,3.1
582,136,"اخلاء",48,2.7
583,136,"عقود",29,1.63
584,136,"أوراق تجارية إلكترونية",6,0.34
585,136,"عام",4,0.23
586,136,"محاضر",1,0.06
587,139,"منطقة مكة المكرمه",783,37.21
588,139,"منطقة الشرقية",483,22.96
589,139,"منطقة الرياض",364,17.3
590,139,"منطقة المدينة المنوره",148,7.03
591,139,"منطقة القصيم",79,3.75
592,139,"منطقة جازان",53,2.52
593,139,"منطقة الباحة",46,2.19
594,139,"منطقة عسير",43,2.04
595,139,"منطقة تبوك",31,1.47
596,139,"منطقة حائل",29,1.38
597,139,"منطقة الجوف",23,1.09
598,139,"منطقة الحدود الشمالية",12,0.57
599,139,"منطقة نجران",10,0.48
600,140,"جده",651,30.94
601,140,"الدمام",401,19.06
602,140,"الرياض",364,17.3
603,140,"المدينة المنورة",148,7.03
604,140,"مكة المكرمة",126,5.99
605,140,"بريده",79,3.75
606,140,"حفر الباطن",55,2.61
607,140,"جيزان",53,2.52
608,140,"الباحه",46,2.19
609,140,"ابها",43,2.04
610,140,"تبوك",31,1.47
611,140,"حائل",29,1.38
612,140,"الاحساء",27,1.28
613,140,"سكاكا",23,1.09
614,140,"عرعر",12,0.57
615,140,"نجران",10,0.48
616,140,"الطائف",6,0.29
617,141,"احكام و قرارات",1037,49.29
618,141,"أوراق تجارية",690,32.79
619,141,"عقود",153,7.27
620,141,"اخلاء",111,5.28
621,141,"أوراق تجارية إلكترونية",70,3.33
622,141,"مزاد",29,1.38
623,141,"عام",8,0.38
624,141,"محاضر",4,0.19
625,141,"نفقات",1,0.05
626,141,"صداق",1,0.05
627,145,"مكة المكرمه",508,29.86
628,145,"الشرقية",377,22.16
629,145,"الرياض",367,21.58
630,145,"المدينة المنوره",135,7.94
631,145,"القصيم",84,4.94
632,145,"جازان",75,4.41
633,145,"حائل",40,2.35
634,145,"عسير",36,2.12
635,145,"الجوف",20,1.18
636,145,"نجران",20,1.18
637,145,"تبوك",18,1.06
638,145,"الباحة",13,0.76
639,145,"الحدود الشمالية",8,0.47
640,146,"جده",382,22.46
641,146,"الرياض",367,21.58
642,146,"الدمام",324,19.05
643,146,"المدينة المنورة",135,7.94
644,146,"مكة المكرمة",118,6.94
645,146,"بريده",84,4.94
646,146,"جيزان",75,4.41
647,146,"حائل",40,2.35
648,146,"ابها",36,2.12
649,146,"حفر الباطن",29,1.7
650,146,"الاحساء",24,1.41
651,146,"سكاكا",20,1.18
652,146,"نجران",20,1.18
653,146,"تبوك",18,1.06
654,146,"الباحه",13,0.76
655,146,"الطائف",8,0.47
656,146,"عرعر",8,0.47
657,147,"احكام و قرارات",751,44.15
658,147,"أوراق تجارية",492,28.92
659,147,"عقود",181,10.64
660,147,"اخلاء",152,8.94
661,147,"أوراق تجارية إلكترونية",53,3.12
662,147,"مزاد",44,2.59
663,147,"محاضر",14,0.82
664,147,"عام",12,0.71
665,147,"نفقات",2,0.12
666,150,"مكة المكرمه",707,30.78
667,150,"الرياض",471,20.51
668,150,"الشرقية",462,20.11
669,150,"القصيم",144,6.27
670,150,"المدينة المنوره",141,6.14
671,150,"جازان",140,6.09
672,150,"عسير",82,3.57
673,150,"حائل",46,2.0
674,150,"الباحة",36,1.57
675,150,"الحدود الشمالية",22,0.96
676,150,"نجران",18,0.78
677,150,"تبوك",15,0.65
678,150,"الجوف",13,0.57
679,151,"جده",510,22.2
680,151,"الرياض",471,20.51
681,151,"الدمام",420,18.28
682,151,"بريده",144,6.27
683,151,"المدينة المنورة",141,6.14
684,151,"جيزان",140,6.09
685,151,"مكة المكرمة",117,5.09
686,151,"ابها",82,3.57
687,151,"الطائف",80,3.48
688,151,"حائل",46,2.0
689,151,"الباحه",36,1.57
690,151,"حفر الباطن",26,1.13
691,151,"عرعر",22,0.96
692,151,"نجران",18,0.78
693,151,"الاحساء",16,0.7
694,151,"تبوك",15,0.65
695,151,"سكاكا",13,0.57
696,152,"احكام و قرارات",1039,45.23
697,152,"أوراق تجارية",543,23.64
698,152,"عقود",315,13.71
699,152,"اخلاء",256,11.14
700,152,"أوراق تجارية إلكترونية",71,3.09
701,152,"مزاد",37,1.61
702,152,"محاضر",16,0.7
703,152,"عام",12,0.52
